Primary_Organization,Participant_Name,Subordinate_Organization,Type,Sub_Type,Participant_ID,Request_for_Information,Information_Delivery,Requests_for_Notification_of_ADT_Events,City,County_Name,Geo_Point
"California Managed Imaging Medical Group, Inc.","California Managed Imaging Medical Group, Inc.",Santa Barbara Women's Imaging Center,Ancillary Care,Imaging/radiology center,DXF002262,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.53229, -119.79968"
Szmidt-A professional medical corp,Szmidt-A professional medical corp,none identified,Ambulatory Care Settings,Physician practice,DXF002266,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.94759, -117.20741"
San Diego Health Connect,San Diego Health Connect,none identified,Intermediaries,Health Information Exchange Intermediary Organization (HIO),DXF002272,SELF,SELF,SELF,San Diego,San Diego,"32.94759, -117.20741"
Andre Yousefia MD Inc.,Andre Yousefia MD Inc.,none identified,Emergency Medical Service Providers,not selected,DXF002273,NONE SELECTED,NONE SELECTED,NONE SELECTED,Thousand Oaks,Ventura,"34.21271, -118.88215"
"Regent Medical Group, Inc.","Regent Medical Group, Inc.","California Pacific Physicians Medical Group, Inc.",Ambulatory Care Settings,Independent practice associations,DXF002274,NONE SELECTED,NONE SELECTED,NONE SELECTED,Cypress,Orange,"33.81814, -118.03816"
Rose Women's Health,Rose Women's Health,none identified,Ambulatory Care Settings,Physician practice,DXF002281,NONE SELECTED,NONE SELECTED,NONE SELECTED,Arcadia,Los Angeles,"34.1286, -118.04825"
LifeStart Fertility Center,LifeStart Fertility Center,none identified,Ambulatory Care Settings,Physician practice,DXF002283,NONE SELECTED,NONE SELECTED,NONE SELECTED,Agoura Hills,Los Angeles,"34.12274, -118.7572"
APLA Health & Wellness,APLA Health & Wellness,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002287,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05912, -118.30654"
"Peninsula Gastrointestinal Specialists, Inc.","Peninsula Gastrointestinal Specialists, Inc.",none identified,Ambulatory Care Settings,Physician practice,DXF002288,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Mateo,San Mateo,"37.57432, -122.31831"
Sweeney Medical Corp,Sweeney Medical Corp,none identified,Ambulatory Care Settings,Physician practice,DXF002290,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.41898, -119.70923"
"James J. Longobardi, DPM, Inc.","James J. Longobardi, DPM, Inc.",none identified,Acute Care Settings,Other acute care setting,DXF002291,NONE SELECTED,NONE SELECTED,NONE SELECTED,Chula Vista,San Diego,"32.63826, -117.05706"
Rancho Wellness,Rancho Wellness,none identified,Emergency Medical Service Providers,not selected,DXF002298,NONE SELECTED,NONE SELECTED,NONE SELECTED,Rancho Cucamonga,San Bernardino,"34.09955, -117.57847"
"Sylvana Guidotti, MD, Inc.","Sylvana Guidotti, MD, Inc.",none identified,Ambulatory Care Settings,Medical group,DXF002300,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
"Livingwater's Medical Clinic, Inc.","Livingwater's Medical Clinic, Inc.",none identified,Ambulatory Care Settings,Physician practice,DXF002302,NONE SELECTED,NONE SELECTED,NONE SELECTED,Murrieta,Riverside,"33.55113, -117.34387"
Sonoma County Department of Health Services,Sonoma County Department of Health Services,none identified,not selected,not selected,DXF002303,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Rosa,Sonoma,"38.43713, -122.66594"
San Mateo Rheumatology.com,San Mateo Rheumatology.com,none identified,Ambulatory Care Settings,Physician practice,DXF002304,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Mateo,San Mateo,"37.57432, -122.31831"
Medicare Dental Directors,Medicare Dental Directors,none identified,Plans,Health care service plans and disability insurer,DXF002306,NONE SELECTED,NONE SELECTED,NONE SELECTED,Agoura Hills,Los Angeles,"34.12274, -118.7572"
health access for all inc,health access for all inc,none identified,Community-Based Organizations,Other community-based service provider,DXF002308,NONE SELECTED,NONE SELECTED,NONE SELECTED,"Los Angeles, CA",Los Angeles,"34.06224, -118.27716"
Fareeda Adeeb M.D Pediatrics,Fareeda Adeeb M.D Pediatrics,none identified,Ambulatory Care Settings,Physician practice,DXF002309,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Jose,Santa Clara,"37.31596, -121.93633"
Covenant Living West dba Covenant Living at the Samarkand,Covenant Living West dba Covenant Living at the Samarkand,none identified,Community-Based Organizations,Continuum of Care organization (CoC),DXF002313,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.53229, -119.79968"
"Natasha Phan, MD","Natasha Phan, MD",none identified,Ambulatory Care Settings,Physician practice,DXF002314,NONE SELECTED,NONE SELECTED,NONE SELECTED,Dublin,Alameda,"37.71525, -121.91467"
Covenant Village Care Center,Covenant Village Care Center,Brandel Manor,Subacute Care Facility,Skilled nursing facility,DXF002316,NONE SELECTED,NONE SELECTED,NONE SELECTED,turlock,Stanislaus,"37.5284, -120.85304"
"Wave Psychiatric Group, PC","Wave Psychiatric Group, PC",none identified,Ambulatory Care Settings,Mental health clinic,DXF002318,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.03702, -118.42492"
Turning Point Community Programs,Turning Point Community Programs,none identified,Community-Based Organizations,Other community-based service provider,DXF002321,NONE SELECTED,NONE SELECTED,NONE SELECTED,Rancho Cordova,Sacramento,"38.60475, -121.28001"
"Valley MRI and Radiology, Inc","Valley MRI and Radiology, Inc",none identified,Ambulatory Care Settings,Physician practice,DXF002323,NONE SELECTED,NONE SELECTED,NONE SELECTED,Stockton,San Joaquin,"37.97388, -121.31987"
Hillsides,Hillsides,none identified,Community-Based Organizations,Other community-based service provider,DXF002326,NONE SELECTED,NONE SELECTED,NONE SELECTED,Pasadena,Los Angeles,"34.13821, -118.16677"
Stephen M Greenberg MD Inc,Stephen M Greenberg MD Inc,none identified,Ancillary Care,Imaging/radiology center,DXF002340,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Monica,Los Angeles,"34.01179, -118.46821"
Yosemite Pathology Medical Group,Yosemite Pathology Medical Group,none identified,Ancillary Care,Other ancillary care provider,DXF002343,NONE SELECTED,NONE SELECTED,NONE SELECTED,Modesto,Stanislaus,"37.72039, -121.02532"
FNA Medical Group,FNA Medical Group,none identified,Plans,Other plan,DXF002346,NONE SELECTED,NONE SELECTED,NONE SELECTED,Alhambra,Los Angeles,"34.09073, -118.12757"
San Diego Diagnostic Radiology Medial Group,San Diego Diagnostic Radiology Medial Group,San Diego Imaging Chula Vista,Ancillary Care,Imaging/radiology center,DXF002351,NONE SELECTED,NONE SELECTED,NONE SELECTED,Chula Vista,San Diego,"32.60736, -117.05404"
San Diego Diagnostic Radiology Medial Group,San Diego Diagnostic Radiology Medial Group,San Diego Imaging Oceanside,Ancillary Care,Imaging/radiology center,DXF002351,NONE SELECTED,NONE SELECTED,NONE SELECTED,Oceanside,San Diego,"33.20149, -117.28908"
San Diego Diagnostic Radiology Medial Group,San Diego Diagnostic Radiology Medial Group,San Diego Imaging Escondido,Ancillary Care,Imaging/radiology center,DXF002351,NONE SELECTED,NONE SELECTED,NONE SELECTED,Escondido,San Diego,"33.08511, -117.12994"
San Diego Diagnostic Radiology Medial Group,San Diego Diagnostic Radiology Medial Group,San Diego Imaging Kearny Mesa,Ancillary Care,Imaging/radiology center,DXF002351,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.80675, -117.13495"
Kern Behavioral Health and Recovery Services,Kern Behavioral Health and Recovery Services,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",DXF002356,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,,
Victor Community Support Services,Victor Community Support Services,none identified,Community-Based Organizations,Other community-based service provider,DXF002361,NONE SELECTED,NONE SELECTED,NONE SELECTED,Chico,Butte,"39.8974, -121.84826"
PathPoint,PathPoint,none identified,Community-Based Organizations,Other community-based service provider,DXF002363,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.41898, -119.70923"
nevada county behavioral health department,nevada county behavioral health department,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",DXF002364,Carequality,Carequality,NONE SELECTED,Grass Valley,Nevada,"39.19509, -120.97699"
"JWCH Institute, Inc","JWCH Institute, Inc",none identified,Community-Based Organizations,Continuum of Care organization (CoC),DXF002370,NONE SELECTED,NONE SELECTED,NONE SELECTED,Commerce,Los Angeles,"33.99353, -118.14907"
Department of Public Health/SAPC,Department of Public Health/SAPC,Los Angeles County Department of Public Health,Counties,Department of public health,DXF002371,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.06599, -118.23821"
Valley Radiology Consultants Medical Group,Valley Radiology Consultants Medical Group,VRC Holdings LLC,Ambulatory Care Settings,Physician practice,DXF002378,NONE SELECTED,NONE SELECTED,NONE SELECTED,Escondido,San Diego,"33.0853, -117.0294"
Valley Radiology Consultants Medical Group,Valley Radiology Consultants Medical Group,VRC Holdings LLC,Ambulatory Care Settings,Physician practice,DXF002378,NONE SELECTED,NONE SELECTED,NONE SELECTED,Escondido,San Diego,"33.0853, -117.0294"
Project Angel Food,Project Angel Food,none identified,Community-Based Organizations,Other community-based service provider,DXF002386,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.08876, -118.32652"
Rancho Family medical group,Rancho Family medical group,none identified,Ambulatory Care Settings,Medical group,DXF002387,NONE SELECTED,NONE SELECTED,NONE SELECTED,Temecula,Riverside,"33.48466, -117.22262"
Rancho Family medical group,Rancho Family medical group,none identified,Ambulatory Care Settings,Medical group,DXF002387,NONE SELECTED,NONE SELECTED,NONE SELECTED,Temecula,Riverside,"33.48466, -117.22262"
Rancho Family medical group,Rancho Family medical group,Rancho Family Medical Group,Ambulatory Care Settings,Medical group,DXF002387,NONE SELECTED,NONE SELECTED,NONE SELECTED,Temecula,Riverside,"33.48466, -117.22262"
Rancho Family medical group,Rancho Family medical group,none identified,Ambulatory Care Settings,not selected,DXF002387,NONE SELECTED,NONE SELECTED,NONE SELECTED,Hemet,Riverside,"33.72967, -117.03417"
Rancho Family medical group,Rancho Family medical group,none identified,Ambulatory Care Settings,Medical group,DXF002387,NONE SELECTED,NONE SELECTED,NONE SELECTED,Menifee,Riverside,"33.6616, -117.1755"
Sierra Imaging Associates Medical Group,Sierra Imaging Associates Medical Group,none identified,Ambulatory Care Settings,Medical group,DXF002389,NONE SELECTED,NONE SELECTED,NONE SELECTED,Clovis,Fresno,"36.8253, -119.68017"
"Sprinter Medical West, P.C.","Sprinter Medical West, P.C.",none identified,Ancillary Care,Other ancillary care provider,DXF002391,NONE SELECTED,NONE SELECTED,NONE SELECTED,Menlo PArk,San Mateo,"37.46321, -122.17249"
"Parag Medical, Inc","Parag Medical, Inc",none identified,Ambulatory Care Settings,Physician practice,DXF002392,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Clemente,Orange,"33.46688, -117.61209"
Santa Barbara Doctors,Santa Barbara Doctors,none identified,Ambulatory Care Settings,Medical group,DXF002393,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.53229, -119.79968"
Orange County Health Authority (dba CalOptima Health),Orange County Health Authority (dba CalOptima Health),none identified,Plans,Medi-Cal managed care plan not regulated by DMHC or CDI,DXF002394,NONE SELECTED,NONE SELECTED,NONE SELECTED,Orange,Orange,"33.78813, -117.87629"
North East Medical Services,North East Medical Services,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002397,NONE SELECTED,NONE SELECTED,NONE SELECTED,DALY CITY,San Mateo,"37.6909, -122.44745"
"AltaMed Health Network, Inc.","AltaMed Health Network, Inc.",none identified,Plans,Health care service plans and disability insurer,DXF002399,NONE SELECTED,NONE SELECTED,NONE SELECTED,Montebello,Los Angeles,"34.01507, -118.11073"
Midcoast imaging,Midcoast imaging,none identified,Acute Care Settings,General acute care hospital,DXF002400,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lompoc,Santa Barbara,"34.60558, -120.39708"
LMDPR,LMDPR,none identified,Ambulatory Care Settings,Physician practice,DXF002401,NONE SELECTED,NONE SELECTED,NONE SELECTED,marina del rey,Los Angeles,"33.97831, -118.44761"
Salud Para La Gente,Salud Para La Gente,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002405,NONE SELECTED,NONE SELECTED,NONE SELECTED,Watsonville,Santa Cruz,"36.93927, -121.74841"
Baywood Court,Baywood Court,none identified,Subacute Care Facility,Skilled nursing facility,DXF002406,NONE SELECTED,NONE SELECTED,NONE SELECTED,Castro Valley,Alameda,"37.71498, -122.08002"
"Gary W. Swenson, MD","Gary W. Swenson, MD",none identified,Ancillary Care,Other ancillary care provider,DXF002411,NONE SELECTED,NONE SELECTED,NONE SELECTED,Rancho Mirage,Riverside,"33.76591, -116.42728"
Socially Oriented United Living Inc.,Socially Oriented United Living Inc.,none identified,Community-Based Organizations,Other community-based service provider,DXF002412,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.07016, -118.34987"
Pacold Medical Clinic,Pacold Medical Clinic,none identified,Ambulatory Care Settings,Physician practice,DXF002415,NONE SELECTED,NONE SELECTED,NONE SELECTED,Cathedral City,Riverside,"33.81825, -116.46644"
Sacramento County Behavioral Health Department,Sacramento County Behavioral Health Department,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",DXF002418,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sacramento,Sacramento,"38.47408, -121.44347"
Imperial County Behavioral Health Servs,Imperial County Behavioral Health Servs,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",DXF002425,NONE SELECTED,NONE SELECTED,NONE SELECTED,EL CENTRO,Imperial,"32.77255, -115.59931"
18 Reasons,18 Reasons,none identified,Community-Based Organizations,Other community-based service provider,DXF002426,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Francisco,San Francisco,"37.74994, -122.41539"
Edward Oklan,Edward Oklan,none identified,Ambulatory Care Settings,Physician practice,DXF002429,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Rafael,Marin,"38.02479, -122.55223"
Chaparral House,Chaparral House,none identified,Subacute Care Facility,Skilled nursing facility,DXF002430,NONE SELECTED,NONE SELECTED,NONE SELECTED,Berkeley,Alameda,"37.86576, -122.28629"
TOWN AND COUNTRY MANOR,TOWN AND COUNTRY MANOR,none identified,Subacute Care Facility,Skilled nursing facility,DXF002439,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Ana,Orange,"33.76591, -117.8822"
"Alisa L. Williams, MD, Inc","Alisa L. Williams, MD, Inc",none identified,Ambulatory Care Settings,Independent practice associations,DXF002440,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.79468, -117.07114"
Access TLC home health and hospice,Access TLC home health and hospice,none identified,Community-Based Organizations,Other community-based service provider,DXF002441,NONE SELECTED,NONE SELECTED,NONE SELECTED,Moorpark,Ventura,"34.30349, -118.8842"
Bernaldez-Blanche Consulting LLC,Bernaldez-Blanche Consulting LLC,EpicWave Laboratory,Ancillary Care,Clinical laboratory,DXF002442,NONE SELECTED,NONE SELECTED,NONE SELECTED,Van Nuys,Los Angeles,"34.20109, -118.44816"
"Rogers Behavioral Health California, Inc.","Rogers Behavioral Health California, Inc.",none identified,Ambulatory Care Settings,Physician practice,DXF002447,NONE SELECTED,NONE SELECTED,NONE SELECTED,Oconomowoc,Waukesha,"43.11314, -88.48992"
Charter Healthcare Group,Charter Healthcare Group,none identified,Community-Based Organizations,Other community-based service provider,DXF002448,NONE SELECTED,NONE SELECTED,NONE SELECTED,Rancho Cucamonga,San Bernardino,"34.09955, -117.57847"
Riverside Heights Healthcare Center,Riverside Heights Healthcare Center,Arrowhead Healthcare Center,Subacute Care Facility,Skilled nursing facility,DXF002449,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Bernardino,San Bernardino,"34.21658, -117.39082"
HumanGood,HumanGood,Valle Verde,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.53229, -119.79968"
HumanGood,HumanGood,The Terraces at Los Altos,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Altos,Santa Clara,"37.35752, -122.14444"
HumanGood,HumanGood,White Sands La Jolla,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,La Jolla,San Diego,"32.85505, -117.25012"
HumanGood,HumanGood,Royal Oaks,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bradbury,Los Angeles,"34.14073, -117.9567"
HumanGood,HumanGood,The Terraces at San Joaquin Gardens,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.82234, -119.76022"
HumanGood,HumanGood,Redwood Terrace,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,Escondido,San Diego,"33.0853, -117.0294"
HumanGood,HumanGood,Piedmont Gardens,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,Oakland,Alameda,"37.83007, -122.2022"
HumanGood,HumanGood,Regents Point,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,Irvine,Orange,"33.66077, -117.82642"
HumanGood,HumanGood,Rosewood,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.3436, -119.06633"
HumanGood,HumanGood,The Terraces of Los Gatos,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Gatos,Santa Clara,"37.21505, -121.92794"
HumanGood,HumanGood,Plymouth Village,Subacute Care Facility,Skilled nursing facility,DXF002452,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redlands,San Bernardino,"34.00495, -117.15067"
County of Siskiyou Health and Human Services Agency,County of Siskiyou Health and Human Services Agency,"County of Siskiyou HHSA, Behavioral Health Division",Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",DXF002453,NONE SELECTED,NONE SELECTED,NONE SELECTED,Yreka,Siskiyou,"41.75581, -122.67266"
County of Siskiyou Health and Human Services Agency,County of Siskiyou Health and Human Services Agency,"County of Siskiyou HHSA, Public Health Division",Counties,Department of public health,DXF002453,NONE SELECTED,NONE SELECTED,NONE SELECTED,Yreka,Siskiyou,"41.75581, -122.67266"
County of Siskiyou Health and Human Services Agency,County of Siskiyou Health and Human Services Agency,"County of Siskiyou HHSA, Social Services Division",Counties,County welfare or social services department,DXF002453,NONE SELECTED,NONE SELECTED,NONE SELECTED,Yreka,Siskiyou,"41.75581, -122.67266"
Sierra View Homes,Sierra View Homes,none identified,Subacute Care Facility,Skilled nursing facility,DXF002454,NONE SELECTED,NONE SELECTED,NONE SELECTED,Reedley,Fresno,"36.65715, -119.40291"
Woods Health Services,Woods Health Services,none identified,Subacute Care Facility,Skilled nursing facility,DXF002455,Los Angeles Network for Enhanced Services (LANES),Los Angeles Network for Enhanced Services (LANES),Los Angeles Network for Enhanced Services (LANES),La Verne,Los Angeles,"34.16086, -117.77278"
Casa de las Campanas,Casa de las Campanas,none identified,Subacute Care Facility,Skilled nursing facility,DXF002456,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"33.0198, -117.12385"
DHHS-Behavioral Health,DHHS-Behavioral Health,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",DXF002458,NONE SELECTED,NONE SELECTED,NONE SELECTED,Eureka,Humboldt,"40.79809, -124.15097"
Whole Care Solutions,Whole Care Solutions,none identified,Community-Based Organizations,Other community-based service provider,DXF002459,NONE SELECTED,NONE SELECTED,NONE SELECTED,Burbank,Los Angeles,"34.17676, -118.30922"
Cardea Health,Cardea Health,none identified,Community-Based Organizations,Other community-based service provider,DXF002460,NONE SELECTED,NONE SELECTED,NONE SELECTED,Oakland,Alameda,"37.83007, -122.2022"
Kings County Behavioral Health,Kings County Behavioral Health,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",DXF002462,Carequality,Carequality,NOT APPLICABLE,Hanford,Kings,"36.28802, -119.62301"
Atherton Baptist Homes,Atherton Baptist Homes,none identified,Subacute Care Facility,Skilled nursing facility,DXF002463,Los Angeles Network for Enhanced Services (LANES),Los Angeles Network for Enhanced Services (LANES),Los Angeles Network for Enhanced Services (LANES),Alhambra,Los Angeles,"34.09073, -118.12757"
WILLIAM BICHA MD,WILLIAM BICHA MD,WILLIAM BICHAI MD,Acute Care Settings,Other acute care setting,DXF002464,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.38451, -119.02082"
Paradise Valley Estates,Paradise Valley Estates,none identified,Subacute Care Facility,Other long term care facility,DXF002465,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fairfield,Solano,"38.2806, -122.0067"
EAST BAY MEDICAL PROFESSIONAL CORPORATION,EAST BAY MEDICAL PROFESSIONAL CORPORATION,none identified,Ambulatory Care Settings,Physician practice,DXF002470,NONE SELECTED,NONE SELECTED,NONE SELECTED,Dublin,Alameda,"37.71525, -121.91467"
Valentine Medical Clinic,Valentine Medical Clinic,none identified,Ambulatory Care Settings,Physician practice,DXF002475,NONE SELECTED,NONE SELECTED,Manifest MedEx,Riverside,Riverside,"33.88162, -117.44479"
Whole Family Health PC,Whole Family Health PC,WHOLE FAMILY HEALTH PC LARCHMONT,Ambulatory Care Settings,Physician practice,DXF002478,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.07621, -118.31084"
Perez Medical Group Inc.,Perez Medical Group Inc.,none identified,Ambulatory Care Settings,Physician practice,DXF002480,NONE SELECTED,NONE SELECTED,NONE SELECTED,La Puente,Los Angeles,"34.0289, -117.93731"
SCHARP,SCHARP,Barbour and Floyd Medical Associates,Community-Based Organizations,Other community-based service provider,DXF002486,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lynwood,Los Angeles,"33.92365, -118.20053"
Lucidity Sleep and Psychiatry,Lucidity Sleep and Psychiatry,none identified,Ambulatory Care Settings,Physician practice,DXF002491,NONE SELECTED,NONE SELECTED,NONE SELECTED,vista,San Diego,"33.16431, -117.24028"
AHMC Health System,AHMC Health System,Seton Medical Center Acute Psychiatric Hospital,Acute Care Settings,Psychiatric hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,DALY CITY,San Mateo,"37.68122, -122.48052"
AHMC Health System,AHMC Health System,Whittier Hospital Medical Center Women's Health Center,Ancillary Care,Other ancillary care provider,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Whittier,Los Angeles,"33.94984, -118.02328"
AHMC Health System,AHMC Health System,Seton Medical Center,Acute Care Settings,General acute care hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,DALY CITY,San Mateo,"37.68122, -122.48052"
AHMC Health System,AHMC Health System,Seton Medical Center SNF,Subacute Care Facility,Skilled nursing facility,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,DALY CITY,San Mateo,"37.68122, -122.48052"
AHMC Health System,AHMC Health System,Seton Medical Center Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,DALY CITY,San Mateo,"37.68122, -122.48052"
AHMC Health System,AHMC Health System,San Gabriel Valley Medical Center,Acute Care Settings,General acute care hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Gabriel,Los Angeles,"34.08988, -118.09492"
AHMC Health System,AHMC Health System,Alhambra Hospital Medical Center SNF,Subacute Care Facility,Skilled nursing facility,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Alhambra,Los Angeles,"34.09073, -118.12757"
AHMC Health System,AHMC Health System,Alhambra Hospital Medical Center Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Alhambra,Los Angeles,"34.09073, -118.12757"
AHMC Health System,AHMC Health System,Doctors Hospital of Riverside Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.88162, -117.44479"
AHMC Health System,AHMC Health System,San Gabriel Valley Medical Center SNF,Subacute Care Facility,Skilled nursing facility,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Gabriel,Los Angeles,"34.08988, -118.09492"
AHMC Health System,AHMC Health System,Monterey Park Hospital Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Monterey Park,Los Angeles,"34.05096, -118.1446"
AHMC Health System,AHMC Health System,Garfield Medical Center,Acute Care Settings,General acute care hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Monterey Park,Los Angeles,"34.05096, -118.1446"
AHMC Health System,AHMC Health System,Greater El Monte Community Hospital,Acute Care Settings,General acute care hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,South El Monte,Los Angeles,"34.04553, -118.05318"
AHMC Health System,AHMC Health System,Monterey Park Hospital,Acute Care Settings,General acute care hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Monterey Park,Los Angeles,"34.05096, -118.1446"
AHMC Health System,AHMC Health System,Alhambra Hospital Medical Center,Acute Care Settings,General acute care hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Alhambra,Los Angeles,"34.09073, -118.12757"
AHMC Health System,AHMC Health System,Doctors Hospital of Riverside,Acute Care Settings,General acute care hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.88162, -117.44479"
AHMC Health System,AHMC Health System,Garfield Medical Center Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Monterey Park,Los Angeles,"34.05096, -118.1446"
AHMC Health System,AHMC Health System,Whittier Hospital Medical Center Cardiorespiratory Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Whittier,Los Angeles,"33.94984, -118.02328"
AHMC Health System,AHMC Health System,Anaheim Regional Medical Center Blood Gas Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Anaheim,Orange,"33.84444, -117.95222"
AHMC Health System,AHMC Health System,Whittier Hospital Medical Center Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Whittier,Los Angeles,"33.94984, -118.02328"
AHMC Health System,AHMC Health System,Whittier Hospital Medical Center SNF,Subacute Care Facility,Skilled nursing facility,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Whittier,Los Angeles,"33.94984, -118.02328"
AHMC Health System,AHMC Health System,Whittier Hospital Medical Center,Acute Care Settings,General acute care hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Whittier,Los Angeles,"33.94984, -118.02328"
