Primary_Organization,Subordinate_Organization,Type,Sub_Type,City,County,ZIP
Dynasty valley llc,Crescent City Skilled Nursing,Intermediaries,Health Information Exchange Intermediary Organization (HIO),crescent city,#N/A,95531
E.MIKE VASILOMANOLAKIS MD,none identified,Emergency Medical Service Providers,not selected,Long Beach,#N/A,90804
EA Family Services,none identified,Community-Based Organizations,Other community-based service provider,Quincy,#N/A,95971
Ear Nose and Throat Associates of San Diego A Medical Corporation,Ear Nose and Throat Associates of San Diego,Ancillary Care,Clinical laboratory,La Mesa,#N/A,91942
Ear Nose and Throat Associates of San Diego A Medical Corporation,Ear Nose and Throat Associates of San Diego,Ancillary Care,Clinical laboratory,Chula Vista,#N/A,91911
Ear Nose and Throat Associates of San Diego A Medical Corporation,Ear Nose and Throat Associates of San Diego,Ancillary Care,Clinical laboratory,San Diego,#N/A,92130
Ear Nose and Throat Associates of San Mateo County,none identified,Ambulatory Care Settings,Physician practice,San Mateo,#N/A,94401
East Bay Cardiovascular and Thoracic Associates,none identified,Ambulatory Care Settings,Physician practice,Danville,#N/A,94526
East Bay Center for Digestive Health,none identified,Ambulatory Care Settings,Physician practice,Oakland,#N/A,94612
"East Bay Hand Medical Center, Inc",none identified,Ambulatory Care Settings,not selected,San Leandro,#N/A,94578
EAST BAY MEDICAL PROFESSIONAL CORPORATION,none identified,Ambulatory Care Settings,Physician practice,Dublin,#N/A,94568
"East Bay Nephrology Medical Group, Inc.",none identified,Ambulatory Care Settings,Physician practice,Berkeley,#N/A,94705
"East Bay Neurosurgery and Spine, Inc",none identified,Ambulatory Care Settings,not selected,Berkeley,#N/A,94705
East County Cardiology,none identified,Ambulatory Care Settings,Physician practice,Antioch,#N/A,94509
"East Valley Community Health Center, Inc.",none identified,Community-Based Organizations,Other community-based service provider,West Covina,#N/A,91790
Eastern Medical Center,none identified,Ambulatory Care Settings,Physician practice,Sacramento,#N/A,95821
Eastern Plumas Health Care,none identified,Acute Care Settings,General acute care hospital,Portola,#N/A,96122-9406
EASTSIDE FAMILY MEDICAL ASSOCIATES,none identified,Ambulatory Care Settings,Physician practice,Los Angeles,#N/A,90022
"EasyCare Management, INC.",none identified,Community-Based Organizations,Other community-based service provider,West Hills,#N/A,91307
Eat Ahara,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90036
Ebbetts Pass Fire District,none identified,Emergency Medical Service Providers,not selected,Arnold,#N/A,95223
Ebtesam Girgis MFT,none identified,Ancillary Care,Other ancillary care provider,Huntington Beach,#N/A,92649
"Eden I & R, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Hayward,#N/A,94541
Edgewood Center for Children and Families,none identified,Ambulatory Care Settings,Mental health clinic,San Francisco,#N/A,94116
Edinger Medical Group,none identified,Ancillary Care,Other ancillary care provider,Fountain Valley,#N/A,92708
"EDMOND CHAN MD, A MED CORP",none identified,Ambulatory Care Settings,Physician practice,Poway,#N/A,92064
"Edmund Fisher, MD, Inc.",none identified,not selected,not selected,Bakersfield,#N/A,93309
"Edmund H. Lew, MD, Inc.",none identified,Ambulatory Care Settings,Physician practice,Glendale,#N/A,91206
"Eduro Healthcare, LLC",Stockton Nursing Center,Subacute Care Facility,Skilled nursing facility,Stockton,#N/A,95207
"Eduro Healthcare, LLC",Fresno Nursing Center,Subacute Care Facility,Skilled nursing facility,Fresno,#N/A,93726
"Eduro Healthcare, LLC",Oakhurst Healthcare Center,Subacute Care Facility,Skilled nursing facility,Oakhurst,#N/A,93644
Edward A Weiss MD INC,none identified,Ambulatory Care Settings,Physician practice,Palo Alto,#N/A,94301
Edward kocharian MD APC,none identified,Ambulatory Care Settings,Physician practice,La Jolla,#N/A,92037
Edward Oklan,none identified,Ambulatory Care Settings,Physician practice,San Rafael,#N/A,94903
"Edward Ruiz, MD",none identified,not selected,not selected,La Quinta,#N/A,92253
"Edward Sun, M.D., Inc.",none identified,Acute Care Settings,Other acute care setting,San Mateo,#N/A,94401
Ehritt Hearing Services,none identified,Ambulatory Care Settings,Independent practice associations,SCOTTS VALLEY,#N/A,95066
Eisenhower Medical Center,none identified,Acute Care Settings,General acute care hospital,Rancho Mirage,#N/A,92270
Eisner Health,none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90015
El Dorado County,none identified,not selected,not selected,Diamond Springs,#N/A,95667
El Dorado County Community Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Placerville,#N/A,95667
"El Proyecto del Barrio, Inc.",none identified,Community-Based Organizations,Other community-based service provider,arleta,#N/A,91331
Elevance CareMore,none identified,Plans,Health care service plans and disability insurer,Rancho Cucamonga,#N/A,91739
Elica Health Centers,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Sacramento,#N/A,95825
"Elisa C. Brown, M.D.",none identified,Ambulatory Care Settings,Physician practice,Chico,#N/A,95926
"Elite Primary Physicians, Inc",none identified,Ambulatory Care Settings,Physician practice,Anaheim,#N/A,92805
Elite Urgent Care,none identified,Acute Care Settings,Other acute care setting,Modesto,#N/A,95350
ELITE WOMEN HEALTH APMC,none identified,Ancillary Care,Other ancillary care provider,Bakersfield,#N/A,93301
"Elizabeth Hegarty, MD",none identified,not selected,not selected,Santa Rosa,#N/A,95404
"Elizabeth Rawson, MD",none identified,Ambulatory Care Settings,Physician practice,San Francisco,#N/A,94115
"Eloy Romero, MD., Inc. A Professional Corporation",none identified,Ambulatory Care Settings,Physician practice,Salinas,#N/A,93906
"Elyse Rubenstein, MD A Professional Coroporation",none identified,Ambulatory Care Settings,Physician practice,Santa Monica,#N/A,90404
Emanate Health,Emanate Health Medical Center,Acute Care Settings,General acute care hospital,Covina,#N/A,91723
Emanate Health,Emanate Health Foothill Presbyterian Hospital,Acute Care Settings,General acute care hospital,Glendora,#N/A,91741
Emanate Health,Emanate Health Hospice,Subacute Care Facility,Skilled nursing facility,West Covina,#N/A,91791
Emanate Health,Emanate Health Queen of the Valley Hospital Clinical Laboratory,Ancillary Care,Clinical laboratory,West Covina,#N/A,91790
Emanate Health,Emanate Health Medical Center Inter-Community Hospital Clinical Lab,Ancillary Care,Clinical laboratory,Covina,#N/A,91723
Emcara Health,"PopHealthCare, LLC",Community-Based Organizations,Continuum of Care organization (CoC),Franklin,#N/A,37067
Emily Bruckner,none identified,Ambulatory Care Settings,Physician practice,Los Angeles,#N/A,90025
"Empire Physicians Medical Group, Inc.",none identified,Ambulatory Care Settings,Medical group,Palm Desert,#N/A,92211
Empress Care Center,none identified,Subacute Care Facility,Skilled nursing facility,San Jose,#N/A,95128-3514
encompass housing,none identified,Community-Based Organizations,Other community-based service provider,Santa Ana,#N/A,92704
"English Channel Holdings, LLC",none identified,Community-Based Organizations,Other community-based service provider,Lodi,#N/A,95240
Enloe Medical center,none identified,Acute Care Settings,General acute care hospital,Chico,#N/A,95926
"Enrique Espinosa-Melendez, MD",none identified,Emergency Medical Service Providers,not selected,Chula Vista,#N/A,91911
Ensign Pleasanton LLC DBA Ukiah Post Acute,none identified,Ancillary Care,Other ancillary care provider,Ukiah,#N/A,95482
Ensign Willits LLC DBA Northbrook Healthcare Center,none identified,Subacute Care Facility,Skilled nursing facility,Willits,#N/A,95490
Enterprise Elementary School District,none identified,Community-Based Organizations,Other community-based service provider,Redding,#N/A,96002
Epic Care,none identified,Ambulatory Care Settings,Physician practice,Antioch,#N/A,94509
Epic Health Plan,none identified,Plans,Health care service plans and disability insurer,Redlands,#N/A,92374
Equal Tox,none identified,Ancillary Care,Clinical laboratory,Santa Ana,#N/A,92705
Eric Hansen Family Practice,Eric R Hansen DO Prof Corp,Ambulatory Care Settings,not selected,Hesperia,#N/A,92345
Eric Roberto Batres Medical Corporation,none identified,Ambulatory Care Settings,Physician practice,Bell,#N/A,90201
ERIC TABAS MD INC,none identified,Ambulatory Care Settings,Physician practice,San Francisco,#N/A,94108
"ERICA RUIZ, MD",none identified,not selected,not selected,La Quinta,#N/A,92253
Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Ambulatory Care Settings,not selected,Visalia,#N/A,93277
Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Ambulatory Care Settings,not selected,Lindsay,#N/A,93257
"Erik C. Spayde, M.D. Inc",St. Charles Spine Institute,Community-Based Organizations,Other community-based service provider,Thousand Oaks,#N/A,91360
"Erik C. Spayde, M.D. Inc",St Charles Imaging Center,Ancillary Care,Imaging/radiology center,Thousand,#N/A,91360
"Erika Novak, L.Ac.",none identified,Ambulatory Care Settings,Independent practice associations,San Diego,#N/A,92122
Escondido Internal Medicine,none identified,Ambulatory Care Settings,Physician practice,Escondido,#N/A,92025
Eureka Radiation Oncology Consultants,none identified,Ambulatory Care Settings,not selected,Blue Lake,#N/A,95525
Evans Hand Therapy,none identified,Community-Based Organizations,Other community-based service provider,Anaheim,#N/A,92805
"Exact Sciences Laboratories, LLC",none identified,Ancillary Care,Clinical laboratory,Madison,#N/A,53711
Exagen,none identified,Ancillary Care,Clinical laboratory,vista,#N/A,92081
Excellence in Rehabilitation Medical Group Inc,none identified,Acute Care Settings,Other acute care setting,Santa Barbara,#N/A,93110
Exodus Recovery Inc.,none identified,Community-Based Organizations,Other community-based service provider,Culver City,#N/A,90232
"Exodus Recovery, Inc",none identified,Community-Based Organizations,Other community-based service provider,Fresno,#N/A,93726
Extended Care Hosp of Westminster,none identified,Subacute Care Facility,Skilled nursing facility,Westminster,#N/A,92683
Eye Physician Med/Surg Center,none identified,Ambulatory Care Settings,Physician practice,Chula Vista,#N/A,91910
Eye Physicians Medical Surgical Center,none identified,Ambulatory Care Settings,Physician practice,Chula Vista,#N/A,91910
Eye Site Sacramento Medical Group,none identified,Ambulatory Care Settings,Medical group,Sacramento,#N/A,95819
F. Jimenez Medical Corporation,none identified,Ambulatory Care Settings,Physician practice,Upland,#N/A,91786
"Fairfield Health Care, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Fairfield,#N/A,94533
Fairmont Rehabilitation Hospital,none identified,Community-Based Organizations,Other community-based service provider,Lodi,#N/A,95240
Fairway Children's Medical Group,none identified,Ambulatory Care Settings,Physician practice,West Covina,#N/A,91792
"Family Allergy, Asthma, Immunology & Sinus Center P.C.",none identified,Ambulatory Care Settings,Physician practice,Poway,#N/A,92064
Family Choice Health Services,none identified,Plans,Health care service plans and disability insurer,Westminster,#N/A,92683
"Family Choice Medical Group, Inc.",none identified,Ambulatory Care Settings,Medical group,Westminster,#N/A,92683
Family First Medical Care,none identified,Ambulatory Care Settings,Independent practice associations,Modesto,#N/A,95355
Family Health Care Centers of Greater LA,none identified,Community-Based Organizations,Other community-based service provider,Bell Gardens,#N/A,90201-1805
"Family Health Centers of San Diego, INC",none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),San Diego,#N/A,92102
Family HealthCare Network,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Visalia,#N/A,93291
Family Justice Center Sonoma County,none identified,Community-Based Organizations,Other community-based service provider,Santa Rosa,#N/A,95403
Family Service Agency of Santa Barbara County,none identified,Community-Based Organizations,Other community-based service provider,Santa Barbara,#N/A,93101
Fareeda Adeeb M.D Pediatrics,none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95128
Fariba Akhavon MD,none identified,Ambulatory Care Settings,Physician practice,Visalia,#N/A,93291
Farid Saadat MD,none identified,Ambulatory Care Settings,Physician practice,Lake Elsinore,#N/A,92530
"Farr Medical Group, Inc.",none identified,Ambulatory Care Settings,Medical group,Bakersfield,#N/A,93312
Father Joe's VIllages,none identified,not selected,not selected,San Diego,#N/A,92102
Feather River Care Center,none identified,Ancillary Care,Other ancillary care provider,Oroville,#N/A,95966
Feather River Health Solutions,none identified,Ambulatory Care Settings,Medical group,Live Oak,#N/A,95953
"Felix R. Gaw, MD, Inc",none identified,Ambulatory Care Settings,Physician practice,Anaheim,#N/A,92801
Fellowship Homes INC dba Casa de Modesto,none identified,Community-Based Organizations,Other community-based service provider,Modesto,#N/A,95350
Felton Institute,none identified,Community-Based Organizations,Other community-based service provider,Alameda,#N/A,94501
"Feras and Hisham, A Medical Corporation",none identified,Ambulatory Care Settings,Physician practice,Pomona,#N/A,91766
Fertility Care of Orange County,none identified,Ancillary Care,Other ancillary care provider,Brea,#N/A,92821
FiCare Med,none identified,Ambulatory Care Settings,Physician practice,Poway,#N/A,92064
Filomena S Pascual MD Inc,none identified,Ambulatory Care Settings,Physician practice,Rancho Cucamonga,#N/A,91730
FishmanVision,none identified,Ambulatory Care Settings,Physician practice,Palo Alto,#N/A,94301
Flagstone Healthcare Central LLC,Ensign San Dimas LLC dba Arbor Glen Care Center,Subacute Care Facility,Skilled nursing facility,Glendora,#N/A,91740
Flagstone Healthcare Central LLC,Redbrook Healthcare Associates LLC dba Brookside Healthcare Center,Subacute Care Facility,Skilled nursing facility,Redlands,#N/A,92373
Flagstone Healthcare Central LLC,"Camarillo Community Care, Inc. dba Camarillo Healthcare Center",Subacute Care Facility,Skilled nursing facility,Camarillo,#N/A,93010
Flagstone Healthcare Central LLC,"Powers Park Healthcare, Inc. dba Channel Islands Post Acute",Subacute Care Facility,Skilled nursing facility,Santa Barbara,#N/A,93110
Flagstone Healthcare Central LLC,Claremont Foothills Health Associates LLC dba Claremont Care Center,Subacute Care Facility,Skilled nursing facility,Pomona,#N/A,91767
Flagstone Healthcare Central LLC,C Street Health Associates LLC dba Glenwood Care Center,Subacute Care Facility,Skilled nursing facility,Oxnard,#N/A,93030
Flagstone Healthcare Central LLC,"Empirecare Health Associates, LLC dba The Grove Care and Wellness",Subacute Care Facility,Skilled nursing facility,Riverside,#N/A,92501
Flagstone Healthcare Central LLC,Ramon Healthcare Associates LLC dba Mission Care Center,Subacute Care Facility,Skilled nursing facility,Rosemead,#N/A,91770
Flagstone Healthcare Central LLC,Ensign Panorama LLC dba Panorama Gardens Nursing and Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Panorama City,#N/A,91402
Flagstone Healthcare Central LLC,Ensign Palm I LLC dba Premier Care Center for Palm Springs,Subacute Care Facility,Skilled nursing facility,Palm Springs,#N/A,92264
Flagstone Healthcare Central LLC,"Upland Community Care, Inc. dba Upland Rehabilitation and Care Center",Subacute Care Facility,Skilled nursing facility,Upland,#N/A,91786
Flagstone Healthcare Central LLC,Victoria Ventura Healthcare LLC dba Victoria Care Center,Subacute Care Facility,Skilled nursing facility,ventura,#N/A,93003
Flagstone Healthcare Central LLC,"Santa Maria Healthcare, Inc. dba Villa Maria Post Acute",Subacute Care Facility,Skilled nursing facility,Santa Maria,#N/A,93454
Flagstone Healthcare North LLC,Ensign Sonoma LLC,Subacute Care Facility,Skilled nursing facility,Sonoma,#N/A,95476-7500
Flagstone Healthcare North LLC,Ensign Cloverdale LLC,Subacute Care Facility,Skilled nursing facility,Cloverdale,#N/A,95425-3811
Flagstone Healthcare North LLC,Ensign Willits LLC,Subacute Care Facility,Skilled nursing facility,Willits,#N/A,95490-7313
Flagstone Healthcare North LLC,Ensign Montgomery LLC,Subacute Care Facility,Skilled nursing facility,Santa Rosa,#N/A,95405-5214
Flagstone Healthcare North LLC,Ensign Santa Rosa LLC,Subacute Care Facility,Skilled nursing facility,Santa Rosa,#N/A,95405-7313
Flagstone Healthcare North LLC,Ensign Pleasanton LLC,Subacute Care Facility,Skilled nursing facility,Ukiah,#N/A,95482-6512
Flagstone Healthcare North LLC,"Bouverie Healthcare Services, Inc.",Subacute Care Facility,Skilled nursing facility,Sonoma,#N/A,95476-7500
Flagstone Healthcare South LLC,City Heights Health Associates LLC,Subacute Care Facility,Skilled nursing facility,San Diego,#N/A,92105-4302
Flagstone Healthcare South LLC,"Atlantic Memorial Healthcare Associates, Inc.",Subacute Care Facility,Skilled nursing facility,Long Beach,#N/A,90806-2713
Flagstone Healthcare South LLC,Downey Community Care LLC,Subacute Care Facility,Skilled nursing facility,Downey,#N/A,90240-2425
Flagstone Healthcare South LLC,"Pine Forest Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,HAWTHORNE,#N/A,90250-8118
Flagstone Healthcare South LLC,"Bernardo Heights Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,San Diego,#N/A,92128-3423
Flagstone Healthcare South LLC,"Nautilus Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,La Jolla,#N/A,92037-5511
Flagstone Healthcare South LLC,"Rio Hondo Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,Downey,#N/A,90242-4329
Flagstone Healthcare South LLC,"Devonshire Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,San Diego,#N/A,92102-2416
Flagstone Healthcare South LLC,"Mission Trails Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,La Mesa,#N/A,91942-3034
Flagstone Healthcare South LLC,"Tustin Hills Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,Santa Ana,#N/A,92705-7810
Flagstone Healthcare South LLC,Lemon Grove Health Associates LLC,Subacute Care Facility,Skilled nursing facility,Lemon Grove,#N/A,91945-2009
Flagstone Healthcare South LLC,"Jefferson Healthcare, LLC",Subacute Care Facility,Skilled nursing facility,El Cajon,#N/A,92020-6012
Flagstone Healthcare South LLC,"La Veta Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,Orange,#N/A,92868-4132
Flagstone Healthcare South LLC,"Portside Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,San Diego,#N/A,92103-3847
Flagstone Healthcare South LLC,Ensign Whittier West LLC,Subacute Care Facility,Skilled nursing facility,Whittier,#N/A,90606-2502
Flagstone Healthcare South LLC,Gate Three Healthcare LLC,Subacute Care Facility,Skilled nursing facility,Laguna Hills,#N/A,92637-3883
Flagstone Healthcare South LLC,West Escondido Healthcare LLC,Subacute Care Facility,Skilled nursing facility,Escondido,#N/A,92025-3416
Flagstone Healthcare South LLC,"Parkside Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,El Cajon,#N/A,92020-4416
Flagstone Healthcare South LLC,Bell Villa Care Associates LLC,Subacute Care Facility,Skilled nursing facility,Bellflower,#N/A,90706-6418
Flagstone Healthcare South LLC,HB Healthcare Associates LLC,Subacute Care Facility,Skilled nursing facility,Huntington Beach,#N/A,92648-1920
Flagstone Healthcare South LLC,"Rose Park Healthcare Associates, Inc.",Subacute Care Facility,Skilled nursing facility,Long Beach,#N/A,92648-1920
Flagstone Healthcare South LLC,Claydelle Healthcare LLC,Subacute Care Facility,Skilled nursing facility,El Cajon,#N/A,92020-4505
Flagstone Healthcare South LLC,"Bayside Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,Chula Vista,#N/A,91910-3515
Flagstone Healthcare South LLC,Southland Management LLC,Subacute Care Facility,Skilled nursing facility,Norwalk,#N/A,90650-7544
Flagstone Healthcare South LLC,"La Jolla Skilled, Inc.",Subacute Care Facility,Skilled nursing facility,San Diego,#N/A,92122-5700
Flagstone Healthcare South LLC,"Santa Catalina Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,Fullerton,#N/A,92832-1935
Flagstone Healthcare South LLC,"Fullerton Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,Fullerton,#N/A,92835-1727
Flagstone Healthcare South LLC,Costa Victoria Healthcare LLC,Subacute Care Facility,Skilled nursing facility,Costa Mesa,#N/A,92627-1914
Flagstone Healthcare South LLC,"Anza Healthcare, Inc.",Subacute Care Facility,Skilled nursing facility,El Cajon,#N/A,92020-6602
Flagstone Healthcare South LLC,Vista Woods Health Associates LLC,Subacute Care Facility,Skilled nursing facility,vista,#N/A,92083-5123
Flagstone Healthcare South LLC,Ensign Whittier East LLC,Subacute Care Facility,Skilled nursing facility,Whittier,#N/A,90603-2642
FNA Medical Group,none identified,Plans,Other plan,Alhambra,#N/A,91801
Fontana Physicians Associates a Medical Corporation,Fontana Clinica Medica Familiar,Ambulatory Care Settings,Physician practice,FONTANA,#N/A,92335
Food For Thought,none identified,Community-Based Organizations,Other community-based service provider,Forestville,#N/A,95436
FOOTHILL COMMUNITY MEDICAL CORP,FOOTHILL COMMUNITY MEDICAL CORP,Emergency Medical Service Providers,not selected,La Puente,#N/A,91744
Foothill Family,none identified,Community-Based Organizations,Other community-based service provider,Pasadena,#N/A,91107
Foothill Pediatric & Adolescent Clinic,none identified,Ambulatory Care Settings,Physician practice,San Dimas,#N/A,91773
Fortuna Family Medicine Inc.,none identified,Ambulatory Care Settings,Rural health center (RHC),Fortuna,#N/A,95540
Franciscan Workers of Junipero Serra,none identified,Community-Based Organizations,Continuum of Care organization (CoC),Salinas,#N/A,93902
"Frank Sebat, MD, Inc",none identified,Ambulatory Care Settings,Physician practice,Redding,#N/A,96099
Fred Brown Recovery Services,none identified,Community-Based Organizations,Other community-based service provider,San Pedro,#N/A,90731-5512
FREED Center for Independent Living,FREED Center for Independent Living,Community-Based Organizations,Other community-based service provider,Yuba City,#N/A,95991
Freedom Properties-Hemet LLC,none identified,Subacute Care Facility,Skilled nursing facility,Hemet,#N/A,92545
Fremont Nephrology Prof Corp,none identified,Ambulatory Care Settings,Physician practice,Fremont,#N/A,94538
Fresno American Indian Health Project,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Fresno,#N/A,93710
Fresno Community Hospital and Medical Center dba Community Medical Centers,Clovis Community Medical Center,Acute Care Settings,General acute care hospital,Clovis,#N/A,93611
Fresno Community Hospital and Medical Center dba Community Medical Centers,Fresno Heart and Surgical Hospital,Acute Care Settings,General acute care hospital,Fresno,#N/A,93720
Fresno Community Hospital and Medical Center dba Community Medical Centers,Community Behavioral Health Center,Acute Care Settings,Psychiatric hospital,Fresno,#N/A,93720
Fresno Community Hospital and Medical Center dba Community Medical Centers,Community Subacute And Transitional Care Center,Subacute Care Facility,Long term acute care hospital,Fresno,#N/A,93703
Fresno-kings-Madera Regional Health Authority dba CalViva Health,none identified,Plans,Health care service plans and disability insurer,Fresno,#N/A,93711
Fresno-Madera Area Agency on Aging,none identified,Community-Based Organizations,Other community-based service provider,Fresno,#N/A,93711
Friends of Family Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),La habra,#N/A,90631
Front Porch Communities and Services,Claremont Manor Care Center,Subacute Care Facility,Skilled nursing facility,Claremont,#N/A,91711
Front Porch Communities and Services,Carlsbad By The Sea,Subacute Care Facility,Skilled nursing facility,Carlsbad,#N/A,92208
Front Porch Communities and Services,Canterbury Woods,Subacute Care Facility,Skilled nursing facility,Pacific Grove,#N/A,93950
Front Porch Communities and Services,San Francisco Towers,Subacute Care Facility,Skilled nursing facility,San Francisco,#N/A,94109
Front Porch Communities and Services,Spring Lake Village,Subacute Care Facility,Skilled nursing facility,Santa Rosa,#N/A,95409
Front Porch Communities and Services,St. Paul's Towers,Subacute Care Facility,Skilled nursing facility,Oakland,#N/A,94610
Front Porch Communities and Services,Sunny View Manor,Subacute Care Facility,Skilled nursing facility,CUPERTINO,#N/A,95014
Front Porch Communities and Services,Villa Gardens Health Care Unit,Subacute Care Facility,Skilled nursing facility,Pasadena,#N/A,91101
Front Porch Communities and Services,Webster House,Subacute Care Facility,Skilled nursing facility,Palo Alto,#N/A,94301
Fulgent Therapeutics LLC,none identified,Ancillary Care,Clinical laboratory,El Monte,#N/A,91731
Full Circle Health Network,none identified,Community-Based Organizations,Other community-based service provider,Sacramento,#N/A,95816
Fullerton Healthcare & Wellness Centre,none identified,Subacute Care Facility,Skilled nursing facility,Fullerton,#N/A,92835
Fullerton Healthcare and Wellness Centre dba The Pavilion at Sunny Hills,none identified,Subacute Care Facility,Skilled nursing facility,Fullerton,#N/A,92835
Fulton Gardens Post Acute,none identified,Community-Based Organizations,Continuum of Care organization (CoC),Stockton,#N/A,95361
Galleria Medical Clinic Inc,none identified,Ambulatory Care Settings,Physician practice,National City,#N/A,91950
"Garden Grove Convalescent Hospital, Inc",none identified,Subacute Care Facility,Skilled nursing facility,Garden Grove,#N/A,92841
Garden Pediatrics,none identified,Ambulatory Care Settings,Physician practice,Redlands,#N/A,92373
Gardena Convalescent Center,none identified,Subacute Care Facility,Skilled nursing facility,Gardena,#N/A,90247
Gardens of El Monte,none identified,Subacute Care Facility,Skilled nursing facility,El Monte,#N/A,91732
Gardner Health Services,none identified,Community-Based Organizations,Other community-based service provider,Alviso,#N/A,95002
Garfield Health Center,none identified,Community-Based Organizations,Other community-based service provider,Monterey Park,#N/A,91770
GARY A COHEN MD,none identified,Ancillary Care,Other ancillary care provider,San Diego,#N/A,92121
Gary A Gramm,none identified,Ambulatory Care Settings,Physician practice,Loomis,#N/A,95650
"Gary W. Swenson, MD",none identified,Ancillary Care,Other ancillary care provider,Rancho Mirage,#N/A,92270
Gateway Medical Services dba Anderson Walk-In Medical Clinic,none identified,Ambulatory Care Settings,Urgent care,Anderson,#N/A,96007
Gautami Agastya MD Inc,none identified,Ambulatory Care Settings,Physician practice,Tracy,#N/A,95376
Gelen R Del Rosario Md INC,none identified,Community-Based Organizations,Other community-based service provider,Carlsbad,#N/A,92009
GEM Initiative,none identified,Ambulatory Care Settings,Faculty practice,Long Beach,#N/A,90801
GENEDX LLC,none identified,Ancillary Care,Clinical laboratory,Stamford,#N/A,6902
Generations Healthcare,Vista Manor Nursing & Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,San Jose,#N/A,95116
Generations Healthcare,Lakeside Special Care Center,Subacute Care Facility,Skilled nursing facility,Lakeside,#N/A,92040
Generations Healthcare,Friendship Manor Nursing & Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,National City,#N/A,91950
Generations Healthcare,Castle Manor Nursing & Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,National City,#N/A,91950
Generations Healthcare,Stanford Court Skilled Nursing & Rehab Center,Subacute Care Facility,Skilled nursing facility,Santee,#N/A,92071
Generations Healthcare,Arbor Hills Nursing Center,Subacute Care Facility,Skilled nursing facility,La Mesa,#N/A,91942
Generations Healthcare,Plum Tree Care Center,Subacute Care Facility,Skilled nursing facility,San Jose,#N/A,95124
Generations Healthcare,Cedar Crest Nursing and Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Sunnyvale,#N/A,94087
Generations Healthcare,Pleasanton Nursing and Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Pleasanton,#N/A,94566
Generations Healthcare,English Oaks Convalescent & Rehabilitation Hospital,Subacute Care Facility,Skilled nursing facility,Modesto,#N/A,95350
Generations Healthcare,Newport Nursing and Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Newport Beach,#N/A,92663
Generations Healthcare,Canyon Oaks Nursing and Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Canoga Park,#N/A,91303
Generations Healthcare,Heritage Park Nursing Center,Subacute Care Facility,Skilled nursing facility,Upland,#N/A,91786
Generations Healthcare,Heritage Court Assisted Living,Subacute Care Facility,Assisted living facility,Upland,#N/A,91786
Generations Healthcare,Lompoc Skilled Nursing & Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Lompoc,#N/A,93436
Generations Healthcare,Kearny Mesa Convalescent and Nursing Home,Subacute Care Facility,Skilled nursing facility,San Diego,#N/A,92111
Generations Healthcare,Gramercy Court,Subacute Care Facility,Skilled nursing facility,Sacramento,#N/A,95825
Generations Healthcare,Gramercy Court,Subacute Care Facility,Assisted living facility,Sacramento,#N/A,95825
Generations Healthcare,Siena Skilled Nursing & Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Auburn,#N/A,95602
Generations Healthcare,Bayberry Skilled Nursing & Healthcare Center,Subacute Care Facility,Skilled nursing facility,Concord,#N/A,94520
Generations Healthcare,Smith Ranch Skilled Nursing & Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,San Rafael,#N/A,94903
Generations Healthcare,Walnut Creek Skilled Nursing & Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Walnut Creek,#N/A,94595
